STATEFP,COUNTYFP,NetReturns,NetIndividuals,NetAGI,realNETAGI,year
22,33,26,43,1124,1213.92,2018
24,33,27,44,3925,4239,2018
37,33,-28,-64,-995,-1074.6,2018
53,33,-192,-237,-10557,-11401.56,2018
8,35,-4,3,-119,-128.52,2018
34,35,57,116,5851,6319.08,2018
37,35,18,18,314,339.12,2018
39,35,16,25,958,1034.64,2018
45,35,2,23,660,712.8,2018
49,35,14,13,1073,1158.84,2018
6,37,117,321,7072,7637.76,2018
37,37,-564,-1270,-84185,-90919.8,2018
47,37,-33,-43,-1033,-1115.64,2018
34,39,62,138,4596,4963.68,2018
54,39,23,35,1119,1208.52,2018
8,41,-20,-42,52,56.16,2018
37,41,24,37,1470,1587.6,2018
42,41,24,46,1387,1497.96,2018
45,41,27,53,2676,2890.08,2018
51,41,-13,-24,-1281,-1383.48,2018
17,43,43,124,4357,4705.56,2018
42,43,23,35,1001,1081.08,2018
48,439,6,14,1421,1534.68,2018
42,45,1,-15,1265,1366.2,2018
45,45,3,6,-847,-914.76,2018
48,453,-75,-83,-5795,-6258.6,2018
36,47,129,289,12107,13075.56,2018
37,47,31,52,1523,1644.84,2018
37,49,8,17,-1459,-1575.72,2018
39,49,75,112,5390,5821.2,2018
42,49,22,38,993,1072.44,2018
49,49,-1,6,-414,-447.12,2018
48,491,10,17,1207,1303.56,2018
13,51,29,63,1638,1769.04,2018
37,51,294,581,18010,19450.8,2018
41,51,-45,-57,-2628,-2838.24,2018
45,51,-20,-74,-6456,-6972.48,2018
24,510,36,68,677,731.16,2018
51,510,25,50,4637,5007.96,2018
27,53,27,47,3265,3526.2,2018
53,53,6,19,-202,-218.16,2018
31,55,20,34,1458,1574.64,2018
36,55,94,181,8088,8735.04,2018
37,55,21,24,238,257.04,2018
51,550,25,67,1850,1998,2018
12,57,-4,-15,-1214,-1311.12,2018
18,57,32,77,4314,4659.12,2018
37,57,9,14,-79,-85.32,2018
6,59,41,117,4935,5329.8,2018
8,59,-5,-11,-962,-1038.96,2018
13,59,21,33,812,876.96,2018
36,59,229,486,17897,19328.76,2018
51,59,148,319,24840,26827.2,2018
51,590,24,44,2130,2300.4,2018
36,61,26,88,17060,18424.8,2018
37,61,19,28,1013,1094.04,2018
39,61,25,36,6109,6597.72,2018
53,61,23,66,3413,3686.04,2018
13,63,-24,-47,-562,-606.96,2018
37,63,87,1442,17879,19309.32,2018
45,63,-7,-36,-977,-1055.16,2018
6,65,17,45,1546,1669.68,2018
36,65,28,45,1247,1346.76,2018
37,65,33,55,556,600.48,2018
47,65,3,5,-784,-846.72,2018
51,650,-7,-17,169,182.52,2018
6,67,-7,8,-235,-253.8,2018
13,67,-27,-66,-876,-946.08,2018
21,67,11,20,1304,1408.32,2018
36,67,70,134,4999,5398.92,2018
37,67,80,52,5398,5829.84,2018
41,67,-20,-22,-262,-282.96,2018
51,680,33,47,1827,1973.16,2018
8,69,9,16,443,478.44,2018
12,69,-9,-24,-1396,-1507.68,2018
37,69,-539,-1255,-31535,-34057.8,2018
42,69,25,55,1868,2017.44,2018
51,700,11,29,690,745.2,2018
6,71,14,33,2652,2864.16,2018
12,71,32,62,2033,2195.64,2018
36,71,56,110,3429,3703.32,2018
37,71,9,-4,135,145.8,2018
42,71,23,51,2058,2222.64,2018
51,710,4,6,414,447.12,2018
1,73,-20,-38,-1968,-2125.44,2018
6,73,70,163,7430,8024.4,2018
12,73,35,68,2144,2315.52,2018
6,75,-66,-69,-3918,-4231.44,2018
51,760,18,37,1263,1364.04,2018
37,77,-191,-476,-15983,-17261.64,2018
42,77,34,74,2731,2949.48,2018
45,77,21,30,706,762.48,2018
51,770,5,10,1012,1092.96,2018
45,79,86,135,4831,5217.48,2018
55,79,15,36,371,400.68,2018
6,81,-12,-2,4848,5235.84,2018
12,81,7,5,-3955,-4271.4,2018
26,81,28,57,2386,2576.88,2018
36,81,131,247,8227,8885.16,2018
37,81,51,-89,17172,18545.76,2018
51,810,6,16,251,271.08,2018
12,83,3,5,579,625.32,2018
37,83,34,53,2313,2498.04,2018
45,83,-33,-68,-1618,-1747.44,2018
51,83,22,37,710,766.8,2018
6,85,-115,-2,3751,4051.08,2018
12,85,20,31,1099,1186.92,2018
36,85,33,72,2243,2422.44,2018
37,85,-346,-805,-17988,-19427.04,2018
48,85,2,-57,243,262.44,2018
12,86,208,443,7205,7781.4,2018
36,87,27,37,1256,1356.48,2018
37,87,-2,-5,789,852.12,2018
51,87,-18,-40,6100,6588,2018
1,89,25,54,1548,1671.84,2018
13,89,3,27,2114,2283.12,2018
17,89,21,37,2357,2545.56,2018
37,89,-6,-8,33,35.64,2018
42,89,23,40,921,994.68,2018
20,91,26,28,2451,2647.08,2018
36,91,28,62,2724,2941.92,2018
42,91,65,105,8454,9130.32,2018
45,91,-3,-2,23,24.84,2018
37,93,7,11,729,787.32,2018
47,93,19,20,1720,1857.6,2018
12,95,67,69,3484,3762.72,2018
39,95,21,34,1329,1435.32,2018
42,95,21,38,1798,1941.84,2018
12,97,1,-6,-732,-790.56,2018
17,97,29,75,5297,5720.76,2018
18,97,39,64,2696,2911.68,2018
37,97,30,21,1063,1148.04,2018
12,99,96,166,4308,4652.64,2018
6,1,2,85,3906,4140.36,2019
8,1,25,45,1765,1870.9,2019
9,1,96,196,12826,13595.56,2019
11,1,41,90,12552,13305.12,2019
12,1,46,60,2312,2450.72,2019
16,1,-20,-44,-1847,-1957.82,2019
35,1,9,22,573,607.38,2019
36,1,44,78,4166,4415.96,2019
37,1,-772,-1657,-33780,-35806.8,2019
9,3,53,132,6932,7347.92,2019
10,3,31,53,2501,2651.06,2019
15,3,10,14,198,209.88,2019
24,3,37,77,3812,4040.72,2019
32,3,2,13,233,246.98,2019
34,3,69,149,6756,7161.36,2019
42,3,63,136,6484,6873.04,2019
51,3,12,29,1156,1225.36,2019
8,5,13,47,2205,2337.3,2019
24,5,61,88,5829,6178.74,2019
25,5,24,45,1861,1972.66,2019
34,5,13,25,935,991.1,2019
36,5,92,211,3807,4035.42,2019
34,7,29,67,1078,1142.68,2019
36,7,27,39,1423,1508.38,2019
44,7,26,60,2130,2257.8,2019
50,7,0,4,88,93.28,2019
9,9,75,138,4977,5275.62,2019
12,9,7,-1,-1458,-1545.48,2019
25,9,30,58,4202,4454.12,2019
37,9,-20,-36,-1967,-2085.02,2019
12,101,19,18,828,877.68,2019
37,101,-1463,-3280,-84752,-89837.12,2019
42,101,-40,-75,-5848,-6198.88,2019
12,103,34,77,4960,5257.6,2019
36,103,273,512,22251,23586.06,2019
12,105,-10,-27,-105,-111.3,2019
37,105,-175,-462,-10756,-11401.36,2019
37,107,65,107,3249,3443.94,2019
51,107,71,137,7807,8275.42,2019
12,109,-21,-63,-3508,-3718.48,2019
37,109,-26,-43,-2525,-2676.5,2019
12,11,125,235,2312,2450.72,2019
33,11,31,82,5481,5809.86,2019
42,11,26,47,1746,1850.76,2019
6,111,32,70,2474,2622.44,2019
12,111,23,38,1505,1595.3,2019
21,111,6,21,202,214.12,2019
39,113,37,94,3671,3891.26,2019
48,113,16,28,3268,3464.08,2019
12,115,23,35,-83,-87.98,2019
12,117,19,37,1551,1644.06,2019
13,117,-7,-28,-883,-935.98,2019
37,117,20,44,1186,1257.16,2019
51,117,5,12,-706,-748.36,2019
12,119,-25,-45,-3261,-3456.66,2019
36,119,94,185,17560,18613.6,2019
37,119,-267,-348,-24283,-25739.98,2019
13,121,-51,-21,2673,2833.38,2019
48,121,1,4,1265,1340.9,2019
51,121,1,5,1455,1542.3,2019
27,123,20,28,1289,1366.34,2019
26,125,54,130,4839,5129.34,2019
37,125,49,63,661,700.66,2019
12,127,-7,-21,-2836,-3006.16,2019
37,127,-67,-177,2018,2139.08,2019
37,129,99,106,-30333,-32152.98,2019
42,129,25,35,1666,1765.96,2019
4,13,30,84,2091,2216.46,2019
6,13,19,65,5492,5821.52,2019
8,13,-35,-60,-2203,-2335.18,2019
34,13,89,179,4933,5228.98,2019
37,13,1,6,-850,-901,2019
45,13,7,-10,-1314,-1392.84,2019
51,13,37,77,12612,13368.72,2019
37,131,-24,-47,-1637,-1735.22,2019
37,133,128,247,1231,1304.86,2019
42,133,20,42,1257,1332.42,2019
13,135,-26,-52,-218,-231.08,2019
37,135,260,157,8838,9368.28,2019
37,139,45,75,2340,2480.4,2019
37,141,9,-8,-1673,-1773.38,2019
48,141,6,3,129,136.74,2019
17,143,21,52,4841,5131.46,2019
40,143,36,63,2558,2711.48,2019
37,145,-104,-228,-7126,-7553.56,2019
37,147,361,571,18843,19973.58,2019
33,15,32,55,2655,2814.3,2019
37,15,24,43,792,839.52,2019
45,15,-1,-1,203,215.18,2019
37,151,-54,-170,-986,-1045.16,2019
37,153,20,42,672,712.32,2019
39,153,36,70,2336,2476.16,2019
51,153,21,54,3671,3891.26,2019
37,155,25,49,4256,4511.36,2019
37,157,15,16,583,617.98,2019
47,157,-7,7,915,969.9,2019
48,157,0,5,1398,1481.88,2019
37,159,17,24,1170,1240.2,2019
26,161,39,71,3915,4149.9,2019
26,163,40,89,4291,4548.46,2019
37,163,2,-19,-519,-550.14,2019
39,165,22,63,3005,3185.3,2019
24,17,20,47,1059,1122.54,2019
25,17,50,143,26212,27784.72,2019
34,17,17,50,1706,1808.36,2019
37,17,4,7,-564,-597.84,2019
42,17,23,47,3635,3853.1,2019
37,179,41,51,878,930.68,2019
51,179,20,45,1557,1650.42,2019
37,181,79,66,3890,4123.4,2019
29,183,-34,-80,-4304,-4562.24,2019
37,183,2489,5173,226405,239989.3,2019
37,185,-32,-66,-3076,-3260.56,2019
29,189,3,-13,-1520,-1611.2,2019
37,189,28,7,-1457,-1544.42,2019
4,19,3,-1,312,330.72,2019
12,19,21,39,1381,1463.86,2019
37,19,-95,-226,-15859,-16810.54,2019
45,19,-12,-53,-11316,-11994.96,2019
37,191,41,103,3329,3528.74,2019
37,195,17,-38,2629,2786.74,2019
17,197,26,60,2286,2423.16,2019
48,201,12,72,6208,6580.48,2019
12,21,33,64,3361,3562.66,2019
24,21,6,8,588,623.28,2019
25,21,34,64,2171,2301.26,2019
34,21,25,56,2446,2592.76,2019
37,21,-34,-32,-5000,-5300,2019
34,23,105,255,13084,13869.04,2019
37,23,9,16,130,137.8,2019
25,25,11,40,6594,6989.64,2019
34,25,42,91,4988,5287.28,2019
37,25,-36,-115,-3124,-3311.44,2019
55,25,43,76,2918,3093.08,2019
24,27,15,46,5280,5596.8,2019
25,27,32,77,3229,3422.74,2019
34,27,37,100,7596,8051.76,2019
36,27,44,71,3844,4074.64,2019
37,27,-24,-42,-1604,-1700.24,2019
48,27,20,35,904,958.24,2019
34,29,30,55,2350,2491,2019
36,29,52,77,3462,3669.72,2019
42,29,13,17,2049,2171.94,2019
48,29,10,15,471,499.26,2019
8,31,-63,-76,-6619,-7016.14,2019
12,31,27,53,216,228.96,2019
17,31,89,231,19727,20910.62,2019
24,31,38,88,8523,9034.38,2019
34,31,44,105,4848,5138.88,2019
37,31,-30,-85,-12059,-12782.54,2019
12,33,-26,-40,-1591,-1686.46,2019
22,33,20,42,1938,2054.28,2019
24,33,50,124,4655,4934.3,2019
37,33,-5,-16,390,413.4,2019
53,33,-129,-123,-3186,-3377.16,2019
8,35,-3,-4,1419,1504.14,2019
34,35,34,68,5128,5435.68,2019
37,35,47,72,1945,2061.7,2019
39,35,53,92,7501,7951.06,2019
45,35,24,44,1298,1375.88,2019
49,35,-20,-13,-3094,-3279.64,2019
6,37,104,220,7788,8255.28,2019
34,37,20,39,2136,2264.16,2019
37,37,-441,-1103,-85019,-90120.14,2019
47,37,-22,-5,-373,-395.38,2019
34,39,63,130,6984,7403.04,2019
8,41,11,26,746,790.76,2019
37,41,22,37,1278,1354.68,2019
39,41,20,52,2197,2328.82,2019
42,41,30,62,2541,2693.46,2019
45,41,23,42,882,934.92,2019
51,41,30,74,3254,3449.24,2019
17,43,26,62,3318,3517.08,2019
48,439,9,29,438,464.28,2019
37,45,32,58,1441,1527.46,2019
42,45,28,57,2002,2122.12,2019
45,45,26,31,2942,3118.52,2019
48,453,-32,-53,-1441,-1527.46,2019
36,47,142,327,11247,11921.82,2019
37,47,20,35,781,827.86,2019
37,49,50,77,1536,1628.16,2019
39,49,50,114,5006,5306.36,2019
42,49,33,51,1643,1741.58,2019
49,49,9,26,807,855.42,2019
48,491,-16,-30,-759,-804.54,2019
13,51,4,15,573,607.38,2019
37,51,248,452,16622,17619.32,2019
41,51,-19,-24,1712,1814.72,2019
45,51,-87,-140,-9358,-9919.48,2019
24,510,47,92,1309,1387.54,2019
29,510,-20,-25,-1442,-1528.52,2019
51,510,-17,-13,-530,-561.8,2019
27,53,35,85,5987,6346.22,2019
53,53,-7,-4,-430,-455.8,2019
31,55,20,48,1463,1550.78,2019
36,55,119,222,8576,9090.56,2019
37,55,10,1,-1272,-1348.32,2019
51,550,12,8,1111,1177.66,2019
12,57,-8,39,769,815.14,2019
18,57,28,64,3218,3411.08,2019
37,57,17,12,94,99.64,2019
6,59,27,77,4451,4718.06,2019
8,59,0,-2,77,81.62,2019
13,59,25,43,1159,1228.54,2019
36,59,142,287,11098,11763.88,2019
51,59,157,313,22481,23829.86,2019
51,590,23,31,1192,1263.52,2019
12,61,-20,-29,-2050,-2173,2019
36,61,-27,67,8705,9227.3,2019
37,61,37,73,1597,1692.82,2019
39,61,45,83,2804,2972.24,2019
53,61,-9,-18,-914,-968.84,2019
54,61,24,45,2734,2898.04,2019
37,63,20,971,-2474,-2622.44,2019
45,63,5,20,955,1012.3,2019
6,65,18,50,1901,2015.06,2019
26,65,26,43,1601,1697.06,2019
36,65,24,46,1368,1450.08,2019
37,65,6,25,436,462.16,2019
47,65,-1,4,939,995.34,2019
51,650,2,-2,484,513.04,2019
6,67,-9,0,-197,-208.82,2019
13,67,13,14,2843,3013.58,2019
21,67,34,53,2783,2949.98,2019
36,67,77,151,5401,5725.06,2019
37,67,136,201,13873,14705.38,2019
41,67,-15,-11,51,54.06,2019
51,680,39,62,1679,1779.74,2019
8,69,28,52,1993,2112.58,2019
12,69,2,8,380,402.8,2019
37,69,-569,-1324,-42717,-45280.02,2019
51,700,0,-2,367,389.02,2019
6,71,19,48,1562,1655.72,2019
12,71,20,44,-624,-661.44,2019
22,71,26,36,1636,1734.16,2019
36,71,38,72,3075,3259.5,2019
37,71,-15,-17,-2055,-2178.3,2019
42,71,31,56,2113,2239.78,2019
51,710,8,21,1677,1777.62,2019
1,73,17,31,891,944.46,2019
6,73,110,273,10226,10839.56,2019
12,73,41,67,2538,2690.28,2019
13,73,20,48,1489,1578.34,2019
6,75,-35,-5,329,348.74,2019
51,760,5,21,396,419.76,2019
37,77,-192,-366,-13155,-13944.3,2019
45,77,26,51,1292,1369.52,2019
51,770,31,47,1427,1512.62,2019
45,79,35,50,1324,1403.44,2019
55,79,51,82,3254,3449.24,2019
6,81,-29,6,1077,1141.62,2019
12,81,9,11,229,242.74,2019
26,81,28,45,1710,1812.6,2019
36,81,197,428,14200,15052,2019
37,81,201,147,16311,17289.66,2019
51,810,62,146,4958,5255.48,2019
12,83,20,34,981,1039.86,2019
37,83,0,-10,1288,1365.28,2019
45,83,0,-1,-487,-516.22,2019
6,85,-105,23,-822,-871.32,2019
36,85,35,78,1628,1725.68,2019
37,85,-260,-514,-16381,-17363.86,2019
48,85,-42,-91,-3319,-3518.14,2019
12,86,70,130,4606,4882.36,2019
36,87,33,56,2305,2443.3,2019
37,87,28,41,1680,1780.8,2019
51,87,25,60,2117,2244.02,2019
1,89,-5,-15,0,0,2019
13,89,-24,4,-1768,-1874.08,2019
37,89,-9,-24,-2065,-2188.9,2019
12,91,-21,-35,-2086,-2211.16,2019
20,91,24,54,2092,2217.52,2019
36,91,29,65,3015,3195.9,2019
37,91,24,43,811,859.66,2019
42,91,44,73,4589,4864.34,2019
45,91,-4,2,-1235,-1309.1,2019
37,93,25,63,993,1052.58,2019
47,93,-13,-29,-1603,-1699.18,2019
12,95,28,46,2864,3035.84,2019
29,95,20,45,1162,1231.72,2019
39,95,20,35,885,938.1,2019
12,97,13,32,313,331.78,2019
17,97,51,118,13264,14059.84,2019
18,97,-4,-25,763,808.78,2019
37,97,11,6,334,354.04,2019
12,99,83,115,5355,5676.3,2019
26,99,26,51,2052,2175.12,2019
6,1,99,231,20029,21030.45,2020
8,1,0,14,-83,-87.15,2020
9,1,89,208,15352,16119.6,2020
11,1,117,179,20126,21132.3,2020
12,1,38,40,982,1031.1,2020
16,1,20,34,1735,1821.75,2020
35,1,1,13,842,884.1,2020
36,1,28,42,2088,2192.4,2020
37,1,-792,-1634,-32784,-34423.2,2020
9,3,66,159,8180,8589,2020
10,3,24,61,1795,1884.75,2020
15,3,7,22,1868,1961.4,2020
24,3,28,96,3789,3978.45,2020
32,3,-1,37,58,60.9,2020
34,3,106,231,8231,8642.55,2020
42,3,73,121,5436,5707.8,2020
44,3,20,37,1461,1534.05,2020
51,3,3,10,-327,-343.35,2020
8,5,23,59,2725,2861.25,2020
24,5,85,178,9025,9476.25,2020
25,5,27,58,1771,1859.55,2020
34,5,23,69,2593,2722.65,2020
36,5,98,202,4820,5061,2020
34,7,33,64,2118,2223.9,2020
36,7,41,59,3093,3247.65,2020
44,7,5,36,1369,1437.45,2020
50,7,29,42,2460,2583,2020
9,9,45,76,4504,4729.2,2020
12,9,6,6,-783,-822.15,2020
25,9,11,32,-73,-76.65,2020
37,9,-31,-58,-4053,-4255.65,2020
12,101,13,21,392,411.6,2020
37,101,-1975,-4420,-109266,-114729.3,2020
42,101,29,93,3866,4059.3,2020
12,103,7,13,-1545,-1622.25,2020
36,103,313,667,26260,27573,2020
12,105,9,26,72,75.6,2020
37,105,-149,-324,-7568,-7946.4,2020
37,107,4,-13,245,257.25,2020
51,107,63,144,11794,12383.7,2020
12,109,-19,-44,-1991,-2090.55,2020
37,109,-3,-21,-3836,-4027.8,2020
40,109,-22,-44,-1549,-1626.45,2020
9,11,21,30,1063,1116.15,2020
12,11,184,427,14065,14768.25,2020
33,11,32,69,3656,3838.8,2020
37,11,-21,-38,-2412,-2532.6,2020
6,111,34,71,4425,4646.25,2020
12,111,32,64,1822,1913.1,2020
21,111,4,-13,-199,-208.95,2020
39,113,44,86,2667,2800.35,2020
48,113,24,94,147,154.35,2020
12,115,-2,3,-776,-814.8,2020
12,117,29,35,1574,1652.7,2020
13,117,6,-1,2070,2173.5,2020
37,117,-27,-43,-1532,-1608.6,2020
51,117,-30,-63,-3089,-3243.45,2020
5,119,24,41,1925,2021.25,2020
36,119,99,199,14164,14872.2,2020
37,119,-110,-171,-2775,-2913.75,2020
13,121,-54,-77,-3303,-3468.15,2020
48,121,16,32,1296,1360.8,2020
51,121,19,25,1412,1482.6,2020
26,125,33,79,4521,4747.05,2020
37,125,-21,-67,-9128,-9584.4,2020
12,127,1,12,-802,-842.1,2020
37,127,-55,-285,-9243,-9705.15,2020
37,129,-77,-287,-36268,-38081.4,2020
42,129,20,35,1814,1904.7,2020
4,13,43,105,6877,7220.85,2020
6,13,42,124,6838,7179.9,2020
8,13,2,6,435,456.75,2020
25,13,26,47,1274,1337.7,2020
34,13,118,266,7867,8260.35,2020
37,13,-17,-54,-2494,-2618.7,2020
45,13,2,3,-3648,-3830.4,2020
51,13,59,117,10013,10513.65,2020
37,131,-1,-6,-1355,-1422.75,2020
37,133,-39,-24,-11872,-12465.6,2020
42,133,31,59,2444,2566.2,2020
55,133,23,51,2708,2843.4,2020
13,135,5,48,671,704.55,2020
37,135,338,194,14376,15094.8,2020
37,139,34,69,1319,1384.95,2020
37,141,-39,-117,-5520,-5796,2020
48,141,-2,-16,310,325.5,2020
37,145,-177,-348,-10892,-11436.6,2020
37,147,325,510,21326,22392.3,2020
45,15,-3,-32,-1787,-1876.35,2020
37,151,-20,-46,-1341,-1408.05,2020
19,153,24,47,1367,1435.35,2020
37,153,9,10,300,315,2020
39,153,40,81,1959,2056.95,2020
51,153,103,194,15378,16146.9,2020
37,155,0,-17,-35,-36.75,2020
37,157,31,55,1079,1132.95,2020
47,157,31,54,2813,2953.65,2020
48,157,25,80,2997,3146.85,2020
37,159,-5,14,-889,-933.45,2020
26,161,3,-12,-1708,-1793.4,2020
51,161,25,68,2001,2101.05,2020
26,163,51,76,1724,1810.2,2020
37,163,-17,-45,-1389,-1458.45,2020
39,165,20,55,2605,2735.25,2020
47,165,-21,-39,-1590,-1669.5,2020
37,167,-20,-33,-1225,-1286.25,2020
24,17,20,32,1050,1102.5,2020
25,17,133,282,23650,24832.5,2020
34,17,84,197,16698,17532.9,2020
42,17,44,91,5055,5307.75,2020
37,171,-2,-17,-757,-794.85,2020
20,173,20,33,1483,1557.15,2020
37,179,21,17,1042,1094.1,2020
51,179,22,47,1919,2014.95,2020
37,181,-18,-66,-467,-490.35,2020
37,183,2716,5812,201660,211743,2020
37,185,-10,-13,-4408,-4628.4,2020
47,187,-25,-53,-3761,-3949.05,2020
29,189,50,99,5395,5664.75,2020
37,189,56,55,-811,-851.55,2020
4,19,4,24,1096,1150.8,2020
37,19,-254,-488,-34877,-36620.85,2020
45,19,4,-18,-6170,-6478.5,2020
37,191,-26,-109,851,893.55,2020
37,195,12,-11,3189,3348.45,2020
17,197,24,52,2111,2216.55,2020
48,201,-19,-2,-83,-87.15,2020
12,21,15,27,2415,2535.75,2020
24,21,38,81,3404,3574.2,2020
25,21,44,91,5446,5718.3,2020
34,21,48,99,4688,4922.4,2020
37,21,-101,-166,-16527,-17353.35,2020
25,23,33,68,3510,3685.5,2020
34,23,128,290,11223,11784.15,2020
37,23,-13,-26,-935,-981.75,2020
24,25,25,52,3169,3327.45,2020
25,25,97,172,12627,13258.35,2020
34,25,57,112,5711,5996.55,2020
37,25,-23,-29,419,439.95,2020
55,25,40,60,5116,5371.8,2020
24,27,23,68,3700,3885,2020
25,27,5,32,1929,2025.45,2020
34,27,35,83,2191,2300.55,2020
36,27,44,66,2819,2959.95,2020
37,27,13,17,1079,1132.95,2020
34,29,41,94,3103,3258.15,2020
36,29,86,170,7628,8009.4,2020
42,29,31,80,4543,4770.15,2020
48,29,5,35,2911,3056.55,2020
8,31,-81,-92,-2686,-2820.3,2020
12,31,1,-5,-613,-643.65,2020
17,31,208,449,37602,39482.1,2020
24,31,93,165,14325,15041.25,2020
34,31,28,51,1756,1843.8,2020
37,31,-203,-430,-45738,-48024.9,2020
12,33,-25,-37,-1209,-1269.45,2020
22,33,25,45,1917,2012.85,2020
24,33,83,218,6264,6577.2,2020
37,33,-10,-21,-712,-747.6,2020
53,33,-134,-93,-9129,-9585.45,2020
8,35,10,48,2210,2320.5,2020
34,35,35,85,4292,4506.6,2020
37,35,37,39,194,203.7,2020
39,35,26,63,1404,1474.2,2020
45,35,32,49,1525,1601.25,2020
49,35,44,109,3659,3841.95,2020
6,37,292,589,43844,46036.2,2020
27,37,20,45,1770,1858.5,2020
34,37,20,41,1566,1644.3,2020
37,37,-491,-1165,-78995,-82944.75,2020
47,37,-15,-4,-4612,-4842.6,2020
34,39,39,96,6768,7106.4,2020
54,39,20,35,865,908.25,2020
8,41,0,-35,-518,-543.9,2020
48,41,-20,-33,-1151,-1208.55,2020
51,41,-14,-20,-150,-157.5,2020
17,43,78,148,7479,7852.95,2020
42,43,20,51,1734,1820.7,2020
48,439,6,18,335,351.75,2020
37,45,2,-3,468,491.4,2020
42,45,32,68,5145,5402.25,2020
45,45,2,-2,-1195,-1254.75,2020
48,453,-32,-28,-9483,-9957.15,2020
36,47,302,599,35951,37748.55,2020
37,47,5,19,-548,-575.4,2020
37,49,-9,-29,138,144.9,2020
39,49,73,149,4854,5096.7,2020
42,49,28,39,1399,1468.95,2020
49,49,28,60,2774,2912.7,2020
48,491,3,9,-811,-851.55,2020
13,51,29,64,655,687.75,2020
37,51,232,345,19216,20176.8,2020
41,51,-4,-1,-193,-202.65,2020
45,51,-94,-194,-11676,-12259.8,2020
24,510,19,32,549,576.45,2020
51,510,29,94,5667,5950.35,2020
27,53,53,113,9638,10119.9,2020
53,53,-6,6,370,388.5,2020
31,55,24,62,2499,2623.95,2020
36,55,94,165,4524,4750.2,2020
37,55,13,10,-1929,-2025.45,2020
51,550,1,-1,351,368.55,2020
12,57,83,154,526,552.3,2020
18,57,29,56,3529,3705.45,2020
37,57,25,38,1840,1932,2020
6,59,105,257,9835,10326.75,2020
8,59,17,43,659,691.95,2020
36,59,181,393,16395,17214.75,2020
37,59,20,42,1911,2006.55,2020
51,59,177,372,26632,27963.6,2020
12,61,-20,-34,-1577,-1655.85,2020
36,61,284,445,53434,56105.7,2020
37,61,12,15,584,613.2,2020
39,61,51,90,5539,5815.95,2020
53,61,11,19,1275,1338.75,2020
54,61,28,53,1915,2010.75,2020
37,63,603,2294,50686,53220.3,2020
45,63,14,11,-40,-42,2020
6,65,27,60,2242,2354.1,2020
26,65,20,32,970,1018.5,2020
36,65,20,38,1112,1167.6,2020
37,65,3,6,-430,-451.5,2020
47,65,25,42,1896,1990.8,2020
51,650,36,56,1792,1881.6,2020
6,67,19,50,1829,1920.45,2020
13,67,1,15,1636,1717.8,2020
21,67,3,5,-735,-771.75,2020
36,67,68,90,4876,5119.8,2020
37,67,103,138,6076,6379.8,2020
41,67,3,5,1936,2032.8,2020
51,680,6,13,444,466.2,2020
8,69,-5,-13,-1318,-1383.9,2020
12,69,3,-4,322,338.1,2020
37,69,-696,-1595,-47966,-50364.3,2020
51,700,9,13,933,979.65,2020
6,71,34,68,2154,2261.7,2020
12,71,33,64,2303,2418.15,2020
22,71,21,25,927,973.35,2020
36,71,59,103,4638,4869.9,2020
37,71,-28,-53,-1933,-2029.65,2020
42,71,32,52,3270,3433.5,2020
51,710,23,36,1332,1398.6,2020
1,73,31,49,1955,2052.75,2020
6,73,135,299,9994,10493.7,2020
12,73,24,35,2442,2564.1,2020
13,73,22,49,1670,1753.5,2020
6,75,43,80,23029,24180.45,2020
51,760,28,26,2690,2824.5,2020
26,77,24,50,2496,2620.8,2020
37,77,-318,-772,-19603,-20583.15,2020
42,77,33,67,5467,5740.35,2020
51,770,-24,-32,-1280,-1344,2020
45,79,64,79,2628,2759.4,2020
55,79,8,23,820,861,2020
51,800,24,44,1734,1820.7,2020
6,81,23,73,13730,14416.5,2020
12,81,-7,-10,-2653,-2785.65,2020
26,81,2,14,283,297.15,2020
36,81,276,552,17981,18880.05,2020
37,81,43,35,11288,11852.4,2020
51,810,28,24,2243,2355.15,2020
37,83,45,64,1256,1318.8,2020
45,83,0,-2,47,49.35,2020
51,83,0,4,-142,-149.1,2020
6,85,5,225,20851,21893.55,2020
36,85,33,73,2395,2514.75,2020
37,85,-346,-901,-19083,-20037.15,2020
48,85,-2,-18,-322,-338.1,2020
12,86,194,446,10392,10911.6,2020
36,87,32,61,2745,2882.25,2020
37,87,-23,-39,-1780,-1869,2020
51,87,-4,37,3505,3680.25,2020
1,89,22,41,1253,1315.65,2020
13,89,-5,-40,-1927,-2023.35,2020
17,89,26,60,3757,3944.85,2020
37,89,-16,-35,-2693,-2827.65,2020
12,91,-6,9,-741,-778.05,2020
20,91,16,54,3078,3231.9,2020
37,91,21,36,564,592.2,2020
42,91,-4,21,-913,-958.65,2020
45,91,-16,-33,-1884,-1978.2,2020
37,93,13,28,692,726.6,2020
47,93,19,16,2144,2251.2,2020
12,95,87,120,5983,6282.15,2020
29,95,-22,-33,-1188,-1247.4,2020
39,95,21,35,1358,1425.9,2020
42,95,27,51,2375,2493.75,2020
51,95,21,35,1615,1695.75,2020
12,97,-7,-11,-965,-1013.25,2020
17,97,37,89,11704,12289.2,2020
18,97,17,39,2072,2175.6,2020
37,97,-6,-57,-467,-490.35,2020
12,99,88,173,1094,1148.7,2020
26,99,27,54,1411,1481.55,2020
37,99,-27,-38,-2004,-2104.2,2020
